10.19.119.116 - - [06/Nov/2025:13:08:26 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/7.81.0"
10.19.119.116 - - [06/Nov/2025:13:08:34 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:34 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:35 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1428 "-" "python-keystoneclient"
10.19.119.116 - - [06/Nov/2025:13:08:35 +0000] "GET /identity/v3/projects/e9523100397349b9be1c3b186b5b7a9b HTTP/1.1" 200 593 "-" "python-keystoneclient"
10.19.119.116 - - [06/Nov/2025:13:08:35 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:35 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:35 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:35 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:35 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:35 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:36 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:36 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:36 +0000] "GET /identity/v3/users/615ac99ed7a24ca8a22f8f71071e0e7e HTTP/1.1" 200 496 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:36 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:36 +0000] "PUT /identity/v3/domains/default/users/615ac99ed7a24ca8a22f8f71071e0e7e/roles/a95f8337286b4689832a00a2b09bfe8b HTTP/1.1" 204 201 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:36 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:36 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:36 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "GET /identity/v3/users/615ac99ed7a24ca8a22f8f71071e0e7e HTTP/1.1" 200 496 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "GET /identity/v3/role_assignments?role.id=a95f8337286b4689832a00a2b09bfe8b&scope.domain.id=default&user.id=615ac99ed7a24ca8a22f8f71071e0e7e HTTP/1.1" 200 782 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:37 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:38 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
10.19.119.116 - - [06/Nov/2025:13:08:38 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
10.19.119.116 - - [06/Nov/2025:13:08:38 +0000] "POST /identity/v3/projects HTTP/1.1" 201 555 "-" "python-keystoneclient"
10.19.119.116 - - [06/Nov/2025:13:08:38 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:38 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:38 +0000] "POST /identity/v3/roles HTTP/1.1" 409 392 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:38 +0000] "GET /identity/v3/roles/service HTTP/1.1" 404 337 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:38 +0000] "GET /identity/v3/roles?name=service HTTP/1.1" 200 595 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:38 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:38 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:39 +0000] "POST /identity/v3/roles HTTP/1.1" 201 479 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:39 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:39 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:39 +0000] "POST /identity/v3/roles HTTP/1.1" 201 477 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.116 - - [06/Nov/2025:13:08:39 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
