Nov 06 09:24:33.000561 np0000021451 systemd[1]: Started Devstack devstack@memory_tracker.service.
Nov 06 09:24:33.016674 np0000021451 memory_tracker.sh[53407]: [[[
Nov 06 09:24:33.018518 np0000021451 memory_tracker.sh[53420]: Thu Nov  6 09:24:33 UTC 2025
Nov 06 09:24:33.019527 np0000021451 memory_tracker.sh[53407]: ---
Nov 06 09:24:33.085061 np0000021451 memory_tracker.sh[53424]: [iscsid (pid:42086)]=13404KB; [multipathd (pid:276)]=289292KB; [ovs-vswitchd (pid:37866)]=530764KB
Nov 06 09:24:33.094660 np0000021451 memory_tracker.sh[53407]: ]]]
Nov 06 09:24:53.110048 np0000021451 memory_tracker.sh[53407]: [[[
Nov 06 09:24:53.113081 np0000021451 memory_tracker.sh[55479]: Thu Nov  6 09:24:53 UTC 2025
Nov 06 09:24:53.113556 np0000021451 memory_tracker.sh[53407]: ---
Nov 06 09:24:53.113556 np0000021451 memory_tracker.sh[53407]: memory_tracker low_point: 6690572
Nov 06 09:24:53.113556 np0000021451 memory_tracker.sh[53407]: ---
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: MemTotal:        8127816 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: MemFree:          253168 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: MemAvailable:    6690572 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Buffers:          197032 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Cached:          6272996 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: SwapCached:           24 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Active:           756216 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Inactive:        6385548 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Active(anon):       1092 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Inactive(anon):   843072 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Active(file):     755124 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Inactive(file):  5542476 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Unevictable:      100268 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Mlocked:          100268 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: SwapTotal:       8388604 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: SwapFree:        8381132 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Dirty:              4084 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Writeback:            16 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: AnonPages:        771828 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Mapped:           180852 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Shmem:            154732 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: KReclaimable:     444988 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Slab:             519376 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: SReclaimable:     444988 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: SUnreclaim:        74388 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: KernelStack:        6436 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: PageTables:         8488 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: NFS_Unstable:          0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Bounce:                0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: WritebackTmp:          0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: CommitLimit:    12452512 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Committed_AS:    2466164 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: VmallocTotal:   34359738367 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: VmallocUsed:       18360 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: VmallocChunk:          0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Percpu:             2336 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: HardwareCorrupted:     0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: AnonHugePages:         0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: ShmemHugePages:        0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: ShmemPmdMapped:        0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: FileHugePages:         0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: FilePmdMapped:         0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: HugePages_Total:       0
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: HugePages_Free:        0
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: HugePages_Rsvd:        0
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: HugePages_Surp:        0
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Hugepagesize:       2048 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: Hugetlb:               0 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: DirectMap4k:      218996 kB
Nov 06 09:24:53.115090 np0000021451 memory_tracker.sh[55480]: DirectMap2M:     8169472 kB
Nov 06 09:24:53.120677 np0000021451 memory_tracker.sh[53407]: ---
Nov 06 09:24:53.128948 np0000021451 memory_tracker.sh[55482]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Nov 06 09:24:53.128948 np0000021451 memory_tracker.sh[55482]:      52810    4.9          403504          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Nov 06 09:24:53.128948 np0000021451 memory_tracker.sh[55482]:      20947    1.4          121236          1   00:00:07       24 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Nov 06 09:24:53.128948 np0000021451 memory_tracker.sh[55482]:      52129    0.9           74660          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Nov 06 09:24:53.128948 np0000021451 memory_tracker.sh[55482]:      37866    0.8           71932          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Nov 06 09:24:53.128948 np0000021451 memory_tracker.sh[55482]:      10874    0.5           47136          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Nov 06 09:24:53.128948 np0000021451 memory_tracker.sh[55482]:      10876    0.4           38476      10874   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Nov 06 09:24:53.128948 np0000021451 memory_tracker.sh[55482]:        276    0.3           27100          1   00:00:00        7 futex_wait_queue_me       /sbin/multipathd -d -s
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:      54389    0.3           26764          1   00:00:00       10 futex_wait_queue_me       /opt/stack/bin/etcd --name np0000021451 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000021451=http://10.19.119.137:2380 --initial-advertise-peer-urls http://10.19.119.137:2380 --advertise-client-urls http://10.19.119.137:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.137:2379 --log-level=debug
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:      51152    0.3           24580          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:      46511    0.2           23888          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:       1743    0.2           23436       1742   00:00:01        2 do_wait                   /usr/bin/python3
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:       4497    0.2           20436          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:      51156    0.2           19896      51152   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:        381    0.2           18504          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:      19968    0.2           18000          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:        569    0.1           15208          1   00:00:01        1 ep_poll                   /usr/sbin/unbound -d -p
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:      51142    0.1           15140          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:      46541    0.1           13936          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:        327    0.1           13400          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Nov 06 09:24:53.130394 np0000021451 memory_tracker.sh[55482]:          1    0.1           13248          0   00:00:21        1 -                         /sbin/init nofb
Nov 06 09:24:53.131434 np0000021451 memory_tracker.sh[55482]:      42086    0.1           13000          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Nov 06 09:24:53.131434 np0000021451 memory_tracker.sh[55482]:        686    0.1           11592          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Nov 06 09:24:53.131434 np0000021451 memory_tracker.sh[55482]:       1746    0.1           11556       1744   00:00:12        1 do_wait                   bash ./stack.sh
Nov 06 09:24:53.131434 np0000021451 memory_tracker.sh[55482]:       3966    0.1           10680       3958   00:00:02        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-11-06-091638
Nov 06 09:24:53.131434 np0000021451 memory_tracker.sh[55482]:       3971    0.1           10608       3963   00:00:00        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-11-06-091638.summary.2025-11-06-091638
Nov 06 09:24:53.131434 np0000021451 memory_tracker.sh[55482]:      51154    0.1           10064      51152   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Nov 06 09:24:53.131434 np0000021451 memory_tracker.sh[55482]:      48920    0.1            9996       1746   00:00:00        1 do_wait                   bash ./stack.sh
Nov 06 09:24:53.131434 np0000021451 memory_tracker.sh[55482]:      54652    0.1            9600          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
