10.19.119.12 - - [06/Nov/2025:13:49:58 +0000] "GET /identity/v3/ HTTP/1.1" 200 503 "-" "curl/7.81.0"
10.19.119.12 - - [06/Nov/2025:13:50:07 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:07 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:07 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1427 "-" "python-keystoneclient"
10.19.119.12 - - [06/Nov/2025:13:50:07 +0000] "GET /identity/v3/projects/529fbfe42510445398e406f18790adef HTTP/1.1" 200 592 "-" "python-keystoneclient"
10.19.119.12 - - [06/Nov/2025:13:50:07 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:07 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:08 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:08 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 602 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:08 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:08 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:08 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:08 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 589 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:08 +0000] "GET /identity/v3/users/c3482167d37e4706b2d27200281287a3 HTTP/1.1" 200 495 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
10.19.119.12 - - [06/Nov/2025:13:50:08 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.7.1 keystoneauth1/5.12.0 python-requests/2.32.5 CPython/3.10.12"
